number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,
1838,古老的玉坠,38,36,0,1,,,,1,36,99,all,CheckTaskFinished(1837),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5 ,AddExp(2350);AddNimbus(1175);AddMoney(360),,,,,,
1839,废墟中的名册,38,37,0,1,,,,1,36,99,all,CheckTaskFinished(1838),,,,,,0,0,0,5127,1,5647,5127,1,1,,0,,0,99,20 ,AddExp(9600);AddNimbus(4800);AddMoney(1440),,,,,,
1840,李承乾其人,38,37,0,1,,,,1,36,99,all,CheckTaskFinished(1839),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5 ,AddExp(2400);AddNimbus(1200);AddMoney(360),,,,,,
1841,尘封多年的记忆,38,38,0,1,,,,1,36,99,all,CheckTaskFinished(1840),,,,,,0,0,0,5128,20,5648,5128,1,20,,0,,0,99,20 ,AddExp(9800);AddNimbus(4900);AddMoney(1500),,,,,,
1842,了却恩怨,38,40,1,1,,,,1,36,99,all,CheckTaskFinished(1841),,,,,,0,5624,1,5129,1,5624,5129,1,1,,0,,0,99,30 ,AddExp(15300);AddNimbus(7650);AddMoney(2340),,,,,,
1843,赤霞弟子,38,33,0,1,,,,1,32,99,all,CheckTaskFinished(1809),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,3 ,AddExp(1320);AddNimbus(660);AddMoney(198),,,,,,
1844,思孙心切,39,35,11,1,,,,1,34,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(13800);AddNimbus(6900);AddMoney(2070),,,,,,
1845,逃出密林,39,35,11,0,1,,,1,34,99,all,,,,,,,0,0,0,0,0,0,0,0,0,2,5684,1,0,99,30 ,AddExp(13800);AddNimbus(6900);AddMoney(2070),,,,,,
1846,收集猪鬃,39,33,11,1,,,,1,33,99,all,,,,,,,0,0,0,5136,10,5674;5685;5686;5687;5688,5136;5136;5136;5136;5136,0.5;0.5;0.5;0.5;0.5,10;10;10;10;10,,0,,0,99,30 ,AddExp(13200);AddNimbus(6600);AddMoney(1980),,,,,,
1847,尽歼余孽,39,34,11,1,,,,1,33,99,all,,,,,,,0,5670;5673,20;1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(13500);AddNimbus(6750);AddMoney(2070),,,,,,
1848,奇怪的黑水湖,39,34,11,1,,,,1,33,99,all,,,,,,,0,5671;5672,20;1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(13500);AddNimbus(6750);AddMoney(2070),,,,,,
1849,消灭族长,39,35,11,1,,,,1,34,99,all,,,,,,,0,5675,1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(13800);AddNimbus(6900);AddMoney(2070),,,,,,
1850,报仇雪恨,40,38,11,1,,,,1,37,99,all,,,,,,,0,5691,20,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(14700);AddNimbus(7350);AddMoney(2250),,,,,,
1851,虚灵阵,40,37,11,1,,,,1,36,99,all,,,,,,,0,0,0,5139,20,5689;5690,5139;5139,0.5;0.5,20;20,,0,,0,99,30 ,AddExp(14400);AddNimbus(7200);AddMoney(2160),,,,,,
1852,破碎玄石,40,39,11,1,,,,1,38,99,all,,,,,,,0,5692;5693,20;1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(15000);AddNimbus(7500);AddMoney(2250),,,,,,
1853,白骨成灰,40,40,11,1,,,,1,39,99,all,,,,,,,0,5659,1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(15300);AddNimbus(7650);AddMoney(2340),,,,,,
