typeid,posx,posy,dir
7164,1772,1574,4
7164,1780,1562,0
7164,1782,1573,0
7164,1803,1605,0
7164,1793,1627,0
7164,1804,1663,12
7164,1812,1655,12
7164,1820,1572,8
7202,1349,1453,4
7202,1362,1460,8
7202,1355,1442,2
7201,1345,1389,8
7201,1361,1378,0
7201,1345,1375,8
7200,1375,1460,10
7200,1376,1441,12
7200,1381,1426,12
7199,1356,1405,2
7199,1370,1385,14
7199,1357,1422,2
7203,1351,1333,0
7203,1364,1347,14
7203,1340,1357,2
7204,1459,1370,2
7205,1413,1391,8
7302,1572,1475,0
7302,1720,1732,0
7302,1945,1350,0
7500,1460,1350,8
7501,1459,1347,8
7502,1458,1344,8
7503,1457,1341,8
7504,1456,1338,8
7505,1455,1335,8
7506,1454,1332,8
7298,1400,1379,0
