,合成名称,需要技能,需要技能等级,产品,材料,材料个数,颜色概率,说明,卷轴学习
50,"dark assistent",14,2,7538,7516;6572;6466,4;15;10,,,0
51,"dark assistent",14,2,7539,7516;6572;6466,4;15;10,,,0
52,"dark assistent",14,2,7540,7516;6572;6466,4;15;10,,,0
53,"dark assistent",14,2,7541,7516;6572;6466,4;15;10,,,0
54,"dark assistent",14,2,7542,7516;6572;6466,4;15;10,,,0
55,"dark assistent",14,2,7543,7516;6572;6466,4;15;10,,,0
56,"dark assistent",14,2,7544,7516;6572;6466,4;15;10,,,0
57,"dark assistent",14,2,7545,7516;6572;6466,4;15;10,,,0
58,"dark assistent",14,2,7546,7516;6572;6466,4;15;10,,,0
59,"dark assistent",14,2,7547,7516;6572;6466,4;15;10,,,0
60,"dark assistent",14,2,7548,7516;6572;6466,4;15;10,,,0
61,"dark assistent",14,2,7549,7516;6572;6466,4;15;10,,,0
62,"dark assistent",14,2,7550,7516;6572;6466,4;15;10,,,0
63,"dark assistent",14,2,7551,7516;6572;6466,4;15;10,,,0
64,"dark assistent",14,2,7552,7516;6572;6466,4;15;10,,,0
65,"dark assistent",14,2,7553,7516;6572;6466,4;15;10,,,0
66,"dark assistent",14,2,7554,7516;6572;6466,4;15;10,,,0
67,"dark assistent",14,2,7555,7516;6572;6466,4;15;10,,,0
68,"dark assistent",14,2,7556,7516;6572;6466,4;15;10,,,0
69,"skyblue assistent",14,3,7557,7516;6573;6466,5;2;25,,,0
70,"skyblue assistent",14,3,7558,7516;6573;6466,5;2;25,,,0
71,"skyblue assistent",14,3,7559,7516;6573;6466,5;2;25,,,0
72,"skyblue assistent",14,3,7560,7516;6573;6466,5;2;25,,,0
73,"skyblue assistent",14,3,7561,7516;6573;6466,5;2;25,,,0
74,"skyblue assistent",14,3,7562,7516;6573;6466,5;2;25,,,0
75,"skyblue assistent",14,3,7563,7516;6573;6466,5;2;25,,,0
76,"skyblue assistent",14,3,7564,7516;6573;6466,5;2;25,,,0
77,"skyblue assistent",14,3,7565,7516;6573;6466,5;2;25,,,0
78,"skyblue assistent",14,3,7566,7516;6573;6466,5;2;25,,,0
79,"skyblue assistent",14,3,7567,7516;6573;6466,5;2;25,,,0
80,"skyblue assistent",14,3,7568,7516;6573;6466,5;2;25,,,0
81,"skyblue assistent",14,3,7569,7516;6573;6466,5;2;25,,,0
82,"skyblue assistent",14,3,7570,7516;6573;6466,5;2;25,,,0
83,"skyblue assistent",14,3,7571,7516;6573;6466,5;2;25,,,0
84,"skyblue assistent",14,3,7572,7516;6573;6466,5;2;25,,,0
85,"skyblue assistent",14,3,7573,7516;6573;6466,5;2;25,,,0
86,"skyblue assistent",14,3,7574,7516;6573;6466,5;2;25,,,0
87,"skyblue assistent",14,3,7575,7516;6573;6466,5;2;25,,,0
88,"skyblue assistent",14,3,7576,7516;6573;6466,5;2;25,,,0
