编号,名称,部件,效果1个,效果2个,效果3个,效果4个,效果5个,效果6个,效果7个,效果8个,效果9个,效果10个,Icon,特效,特效link,特效(女),特效link(女)
ID,Name,Items,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10,Icon,AppearenceEffect,EffectLink,AppearenceEffect_Women,EffectLink_Women
26,寒芒套装,6485;6486;6487;6488;6489;6490,,AddCon(200),AddWis(200),"AddArmorRate(0,2)",AddDodgeRate(0.1),"SkillAddTargetRadius(214,30)",,,,,ic_ide006,eff_em_setp60,root,,
27,佛音套装,6491;6492;6493;6494;6495;6496,,AddCon(200),AddStr(200),"AddArmorRate(0,2)",AddDodgeRate(0.1),AddParryRate(0.1),,,,,ic_idf006,eff_fm_setp60,root,,
28,柳絮套装,6497;6498;6499;6500;6501;6502,,AddCon(200),AddWis(200),"AddArmorRate(0,2)",AddUltraHeal(556),"SkillAddCdTime(319,-30000)",,,,,ic_idb006,eff_bh_setp60,root,,
29,逐日套装,6503;6504;6505;6506;6507;6508,,AddCon(200),AddDex(200),"AddArmorRate(0,2)",AddDodgeRate(0.1),"SkillAddCdTime(522,-60000)",,,,,ic_idq006,eff_qc_setp60,root,,
30,冲宵套装,6509;6510;6511;6512;6513;6514,,AddCon(200),AddWis(200),"AddArmorRate(0,2)",AddDodgeRate(0.1),"SkillAddCdTime(630,-20000)",,,,,ic_idx006,eff_xq_setp60,root,,
31,寒芒套装,7485;7486;7487;7488;7489;7490,,AddCon(280),AddWis(250),"AddDeltaCriticalRate(1,0.02)",AddDodgeRate(0.3),"SkillAddCdTime(205,-2000)",,,,,ic_ide006,eff_em_setp60,root,,
32,佛音套装,7491;7492;7493;7494;7495;7496,,AddCon(280),AddStr(250),"AddDeltaCriticalDmg(5,0.02)",AddDodgeRate(0.3),"SkillAddCriticalRate(402,0.1)",,,,,ic_idf006,eff_fm_setp60,root,,
33,柳絮套装,7497;7498;7499;7500;7501;7502,,AddCon(280),AddWis(250),"AddDmgRate(4,0.10)",AddUltraHeal(677),"SkillAddPreTime(303,-500)",,,,,ic_idb006,eff_bh_setp60,root,,
34,逐日套装,7503;7504;7505;7506;7507;7508,,AddCon(280),AddDex(250),"AddDeltaCriticalRate(3,0.02)",AddDodgeRate(0.3),"SkillAddCriticalRate(513,0.05)",,,,,ic_idq006,eff_qc_setp60,root,,
35,冲宵套装,7509;7510;7511;7512;7513;7514,,AddCon(280),AddWis(250),"AddDeltaCriticalRate(2,0.02)",AddDodgeRate(0.3),"SkillAddPreTime(601,-500)",,,,,ic_idx006,eff_xq_setp60,root,,
