block 1000, total 42000, active 17164, size 12, leak 205968.
block 200, total 4400, active 3414, size 48, leak 163872.
block 32, total 6944, active 6919, size 340, leak 2352460.
block 1000, total 38000, active 15796, size 12, leak 189552.
block 32, total 6944, active 6919, size 340, leak 2352460.
block 1000, total 38000, active 15849, size 12, leak 190188.
block 200, total 4000, active 3285, size 48, leak 157680.
block 32, total 6944, active 6921, size 340, leak 2353140.
block 1000, total 38000, active 15850, size 12, leak 190200.
block 200, total 5000, active 3622, size 48, leak 173856.
block 32, total 6944, active 6937, size 340, leak 2358580.
block 1000, total 38000, active 15861, size 12, leak 190332.
block 200, total 2600, active 1383, size 48, leak 66384.
block 32, total 6976, active 6947, size 340, leak 2361980.
block 1000, total 39000, active 15903, size 12, leak 190836.
block 200, total 4600, active 3377, size 48, leak 162096.
block 32, total 6944, active 6936, size 340, leak 2358240.
block 1000, total 39000, active 15994, size 12, leak 191928.
block 200, total 2800, active 2237, size 48, leak 107376.
block 200, total 2600, active 1818, size 48, leak 87264.
block 32, total 6944, active 6936, size 340, leak 2358240.
block 1000, total 39000, active 15994, size 12, leak 191928.
block 200, total 4600, active 3180, size 48, leak 152640.
block 32, total 6944, active 6935, size 340, leak 2357900.
block 1000, total 39000, active 16019, size 12, leak 192228.
block 200, total 1800, active 1531, size 48, leak 73488.
block 32, total 6944, active 6930, size 340, leak 2356200.
block 1000, total 39000, active 16019, size 12, leak 192228.
block 200, total 4600, active 3340, size 48, leak 160320.
block 32, total 6944, active 6940, size 340, leak 2359600.
block 1000, total 39000, active 16020, size 12, leak 192240.
block 200, total 4800, active 3267, size 48, leak 156816.
block 32, total 6976, active 6971, size 340, leak 2370140.
block 1000, total 39000, active 16043, size 12, leak 192516.
block 200, total 3800, active 3246, size 48, leak 155808.
block 32, total 6944, active 6943, size 340, leak 2360620.
block 1000, total 39000, active 16028, size 12, leak 192336.
block 200, total 4200, active 3332, size 48, leak 159936.
block 32, total 6976, active 6953, size 340, leak 2364020.
block 1000, total 39000, active 16033, size 12, leak 192396.
block 200, total 1800, active 1520, size 48, leak 72960.
block 32, total 6944, active 6931, size 340, leak 2356540.
block 1000, total 39000, active 16076, size 12, leak 192912.
block 200, total 4000, active 3189, size 48, leak 153072.
block 32, total 6976, active 6952, size 340, leak 2363680.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 3000, active 1705, size 48, leak 81840.
block 32, total 6976, active 6952, size 340, leak 2363680.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4600, active 3290, size 48, leak 157920.
block 32, total 6944, active 6940, size 340, leak 2359600.
block 1000, total 39000, active 16187, size 12, leak 194244.
block 200, total 4000, active 3187, size 48, leak 152976.
block 32, total 6944, active 6943, size 340, leak 2360620.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4400, active 3349, size 48, leak 160752.
block 32, total 6944, active 6943, size 340, leak 2360620.
block 1000, total 39000, active 16132, size 12, leak 193584.
block 200, total 4600, active 3341, size 48, leak 160368.
block 32, total 7008, active 6981, size 340, leak 2373540.
block 1000, total 39000, active 16367, size 12, leak 196404.
block 200, total 3600, active 1778, size 48, leak 85344.
block 32, total 6976, active 6976, size 340, leak 2371840.
block 1000, total 39000, active 16078, size 12, leak 192936.
block 200, total 3000, active 1936, size 48, leak 92928.
block 32, total 7008, active 6989, size 340, leak 2376260.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4200, active 3367, size 48, leak 161616.
block 32, total 6976, active 6954, size 340, leak 2364360.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4400, active 3077, size 48, leak 147696.
block 32, total 6976, active 6976, size 340, leak 2371840.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4600, active 3358, size 48, leak 161184.
block 32, total 6976, active 6964, size 340, leak 2367760.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4600, active 3171, size 48, leak 152208.
block 32, total 6976, active 6964, size 340, leak 2367760.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4600, active 3175, size 48, leak 152400.
block 32, total 6976, active 6964, size 340, leak 2367760.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4400, active 3808, size 48, leak 182784.
block 32, total 6976, active 6964, size 340, leak 2367760.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4200, active 3012, size 48, leak 144576.
block 32, total 6976, active 6976, size 340, leak 2371840.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4200, active 3151, size 48, leak 151248.
block 32, total 7008, active 6991, size 340, leak 2376940.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 2200, active 1507, size 48, leak 72336.
block 32, total 7008, active 7003, size 340, leak 2381020.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 3800, active 2960, size 48, leak 142080.
block 32, total 7008, active 7008, size 340, leak 2382720.
block 1000, total 39000, active 16083, size 12, leak 192996.
block 200, total 5600, active 3583, size 48, leak 171984.
block 32, total 7072, active 7057, size 340, leak 2399380.
block 32, total 7008, active 6985, size 340, leak 2374900.
block 32, total 7008, active 6985, size 340, leak 2374900.
block 32, total 7008, active 6985, size 340, leak 2374900.
block 32, total 7008, active 6985, size 340, leak 2374900.
block 32, total 7008, active 6985, size 340, leak 2374900.
block 32, total 7008, active 6985, size 340, leak 2374900.
block 32, total 7008, active 6985, size 340, leak 2374900.
block 32, total 7008, active 6985, size 340, leak 2374900.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 2600, active 1532, size 48, leak 73536.
block 32, total 7008, active 7005, size 340, leak 2381700.
block 1000, total 39000, active 16055, size 12, leak 192660.
block 200, total 4600, active 3403, size 48, leak 163344.
block 32, total 7040, active 7027, size 340, leak 2389180.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4200, active 3097, size 48, leak 148656.
block 32, total 7040, active 7018, size 340, leak 2386120.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4000, active 2486, size 48, leak 119328.
block 32, total 7040, active 7018, size 340, leak 2386120.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4000, active 3124, size 48, leak 149952.
block 32, total 7040, active 7013, size 340, leak 2384420.
block 1000, total 39000, active 16080, size 12, leak 192960.
block 200, total 4200, active 3071, size 48, leak 147408.
block 32, total 7040, active 7017, size 340, leak 2385780.
block 1000, total 39000, active 16067, size 12, leak 192804.
block 200, total 2600, active 1751, size 48, leak 84048.
block 32, total 7040, active 7020, size 340, leak 2386800.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4000, active 3164, size 48, leak 151872.
block 32, total 7008, active 7008, size 340, leak 2382720.
block 1000, total 39000, active 16051, size 12, leak 192612.
block 200, total 4000, active 3097, size 48, leak 148656.
block 32, total 7040, active 7009, size 340, leak 2383060.
block 1000, total 39000, active 16073, size 12, leak 192876.
block 200, total 4800, active 3160, size 48, leak 151680.
block 32, total 7072, active 7052, size 340, leak 2397680.
block 1000, total 39000, active 16059, size 12, leak 192708.
block 200, total 4400, active 3068, size 48, leak 147264.
block 32, total 7008, active 7008, size 340, leak 2382720.
block 1000, total 39000, active 16102, size 12, leak 193224.
block 200, total 3600, active 1697, size 48, leak 81456.
block 32, total 7072, active 7058, size 340, leak 2399720.
block 1000, total 39000, active 16059, size 12, leak 192708.
block 200, total 5600, active 3408, size 48, leak 163584.
block 32, total 7040, active 7024, size 340, leak 2388160.
block 1000, total 39000, active 16059, size 12, leak 192708.
block 200, total 5200, active 3062, size 48, leak 146976.
block 32, total 7072, active 7041, size 340, leak 2393940.
block 1000, total 39000, active 16098, size 12, leak 193176.
block 200, total 2800, active 2175, size 48, leak 104400.
block 32, total 7040, active 7018, size 340, leak 2386120.
block 1000, total 39000, active 16114, size 12, leak 193368.
block 200, total 3800, active 2843, size 48, leak 136464.
block 32, total 7040, active 7010, size 340, leak 2383400.
block 1000, total 39000, active 16104, size 12, leak 193248.
block 200, total 4200, active 3100, size 48, leak 148800.
block 32, total 7008, active 7006, size 340, leak 2382040.
block 1000, total 39000, active 16104, size 12, leak 193248.
block 200, total 3800, active 2252, size 48, leak 108096.
block 32, total 7008, active 7006, size 340, leak 2382040.
block 1000, total 39000, active 16104, size 12, leak 193248.
block 32, total 7040, active 7009, size 340, leak 2383060.
block 1000, total 39000, active 16104, size 12, leak 193248.
block 200, total 1800, active 1370, size 48, leak 65760.
block 32, total 7008, active 6997, size 340, leak 2378980.
block 32, total 7008, active 6986, size 340, leak 2375240.
block 1000, total 39000, active 16104, size 12, leak 193248.
block 32, total 7008, active 6997, size 340, leak 2378980.
block 1000, total 39000, active 16104, size 12, leak 193248.
block 200, total 4400, active 2913, size 48, leak 139824.
block 32, total 7040, active 7009, size 340, leak 2383060.
block 1000, total 40000, active 16435, size 12, leak 197220.
block 200, total 3400, active 1438, size 48, leak 69024.
block 32, total 7040, active 7033, size 340, leak 2391220.
block 1000, total 39000, active 16117, size 12, leak 193404.
block 200, total 4200, active 3437, size 48, leak 164976.
block 32, total 7072, active 7052, size 340, leak 2397680.
block 1000, total 39000, active 16104, size 12, leak 193248.
block 200, total 2400, active 1366, size 48, leak 65568.
block 32, total 7072, active 7051, size 340, leak 2397340.
block 1000, total 39000, active 16196, size 12, leak 194352.
block 200, total 4600, active 2947, size 48, leak 141456.
block 32, total 7104, active 7088, size 340, leak 2409920.
block 1000, total 39000, active 16212, size 12, leak 194544.
block 200, total 4200, active 3164, size 48, leak 151872.
block 32, total 7072, active 7053, size 340, leak 2398020.
block 1000, total 39000, active 16104, size 12, leak 193248.
block 200, total 4200, active 3134, size 48, leak 150432.
block 32, total 7072, active 7053, size 340, leak 2398020.
block 1000, total 39000, active 16124, size 12, leak 193488.
block 32, total 7072, active 7052, size 340, leak 2397680.
block 1000, total 39000, active 16164, size 12, leak 193968.
block 200, total 12000, active 3074, size 48, leak 147552.
block 32, total 7168, active 7149, size 340, leak 2430660.
block 1000, total 40000, active 16158, size 12, leak 193896.
block 200, total 4000, active 3092, size 48, leak 148416.
block 32, total 7072, active 7066, size 340, leak 2402440.
block 1000, total 40000, active 16178, size 12, leak 194136.
block 200, total 2200, active 1559, size 48, leak 74832.
block 32, total 7072, active 7063, size 340, leak 2401420.
block 1000, total 40000, active 16213, size 12, leak 194556.
block 200, total 2600, active 1503, size 48, leak 72144.
block 32, total 7072, active 7062, size 340, leak 2401080.
block 1000, total 40000, active 16174, size 12, leak 194088.
block 200, total 2800, active 1467, size 48, leak 70416.
block 32, total 7072, active 7063, size 340, leak 2401420.
block 1000, total 40000, active 16178, size 12, leak 194136.
block 200, total 6400, active 3499, size 48, leak 167952.
block 32, total 7136, active 7110, size 340, leak 2417400.
block 1000, total 40000, active 16195, size 12, leak 194340.
block 200, total 2400, active 1661, size 48, leak 79728.
block 32, total 7072, active 7066, size 340, leak 2402440.
block 1000, total 40000, active 16178, size 12, leak 194136.
block 200, total 2800, active 1844, size 48, leak 88512.
block 32, total 7072, active 7069, size 340, leak 2403460.
block 1000, total 40000, active 16186, size 12, leak 194232.
block 200, total 3600, active 2863, size 48, leak 137424.
block 32, total 7072, active 7068, size 340, leak 2403120.
block 1000, total 40000, active 16178, size 12, leak 194136.
block 200, total 3800, active 2800, size 48, leak 134400.
block 32, total 7072, active 7068, size 340, leak 2403120.
block 1000, total 40000, active 16186, size 12, leak 194232.
block 200, total 3600, active 2844, size 48, leak 136512.
block 32, total 7072, active 7068, size 340, leak 2403120.
block 1000, total 40000, active 16178, size 12, leak 194136.
block 200, total 5000, active 4044, size 48, leak 194112.
block 200, total 2000, active 1585, size 48, leak 76080.
block 32, total 7072, active 7063, size 340, leak 2401420.
block 1000, total 40000, active 16178, size 12, leak 194136.
block 200, total 2600, active 1594, size 48, leak 76512.
block 32, total 7072, active 7066, size 340, leak 2402440.
block 1000, total 40000, active 16178, size 12, leak 194136.
block 200, total 2600, active 1957, size 48, leak 93936.
block 32, total 7104, active 7081, size 340, leak 2407540.
block 1000, total 40000, active 16186, size 12, leak 194232.
block 200, total 6200, active 3272, size 48, leak 157056.
block 32, total 7104, active 7091, size 340, leak 2410940.
block 1000, total 40000, active 16178, size 12, leak 194136.
block 200, total 4400, active 3366, size 48, leak 161568.
block 32, total 7104, active 7074, size 340, leak 2405160.
block 1000, total 40000, active 16188, size 12, leak 194256.
block 200, total 4400, active 3376, size 48, leak 162048.
block 32, total 7072, active 7068, size 340, leak 2403120.
block 1000, total 40000, active 16240, size 12, leak 194880.
block 200, total 4200, active 3059, size 48, leak 146832.
block 32, total 7104, active 7082, size 340, leak 2407880.
block 32, total 7072, active 7044, size 340, leak 2394960.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4000, active 2748, size 48, leak 131904.
block 32, total 7072, active 7055, size 340, leak 2398700.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 2400, active 1486, size 48, leak 71328.
block 32, total 7104, active 7088, size 340, leak 2409920.
block 1000, total 40000, active 16210, size 12, leak 194520.
block 200, total 2400, active 1522, size 48, leak 73056.
block 32, total 7072, active 7067, size 340, leak 2402780.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 1800, active 1440, size 48, leak 69120.
block 32, total 7072, active 7055, size 340, leak 2398700.
block 200, total 1800, active 1506, size 48, leak 72288.
block 32, total 7072, active 7055, size 340, leak 2398700.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4400, active 2951, size 48, leak 141648.
block 32, total 7072, active 7055, size 340, leak 2398700.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 2200, active 1408, size 48, leak 67584.
block 32, total 7072, active 7064, size 340, leak 2401760.
block 1000, total 40000, active 16298, size 12, leak 195576.
block 200, total 5000, active 3498, size 48, leak 167904.
block 32, total 7104, active 7095, size 340, leak 2412300.
block 1000, total 41000, active 17167, size 12, leak 206004.
block 200, total 5400, active 3231, size 48, leak 155088.
block 32, total 7168, active 7156, size 340, leak 2433040.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 3600, active 2708, size 48, leak 129984.
block 32, total 7072, active 7067, size 340, leak 2402780.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4400, active 3587, size 48, leak 172176.
block 32, total 7072, active 7068, size 340, leak 2403120.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4000, active 3130, size 48, leak 150240.
block 32, total 7072, active 7069, size 340, leak 2403460.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4400, active 3507, size 48, leak 168336.
block 32, total 7104, active 7082, size 340, leak 2407880.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4800, active 3747, size 48, leak 179856.
block 32, total 7072, active 7069, size 340, leak 2403460.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4600, active 3350, size 48, leak 160800.
block 32, total 7072, active 7069, size 340, leak 2403460.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4200, active 3313, size 48, leak 159024.
block 32, total 7072, active 7069, size 340, leak 2403460.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 5400, active 4546, size 48, leak 218208.
block 32, total 7072, active 7069, size 340, leak 2403460.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4600, active 3378, size 48, leak 162144.
block 32, total 7072, active 7069, size 340, leak 2403460.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4400, active 3245, size 48, leak 155760.
block 32, total 7008, active 7004, size 340, leak 2381360.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 200, total 4200, active 3379, size 48, leak 162192.
block 32, total 7040, active 7017, size 340, leak 2385780.
block 1000, total 40000, active 16204, size 12, leak 194448.
block 32, total 7008, active 7004, size 340, leak 2381360.
block 1000, total 41000, active 16672, size 12, leak 200064.
block 200, total 4000, active 2922, size 48, leak 140256.
block 32, total 7104, active 7079, size 340, leak 2406860.
block 32, total 7072, active 7066, size 340, leak 2402440.
block 1000, total 40000, active 16547, size 12, leak 198564.
block 200, total 2800, active 1428, size 48, leak 68544.
block 32, total 7104, active 7092, size 340, leak 2411280.
block 1000, total 40000, active 16547, size 12, leak 198564.
block 200, total 3800, active 3110, size 48, leak 149280.
block 32, total 7104, active 7080, size 340, leak 2407200.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3600, active 3030, size 48, leak 145440.
block 32, total 7104, active 7079, size 340, leak 2406860.
block 1000, total 40000, active 16577, size 12, leak 198924.
block 200, total 2600, active 1927, size 48, leak 92496.
block 32, total 7136, active 7109, size 340, leak 2417060.
block 1000, total 40000, active 16576, size 12, leak 198912.
block 200, total 4200, active 3213, size 48, leak 154224.
block 32, total 7104, active 7085, size 340, leak 2408900.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 3214, size 48, leak 154272.
block 32, total 7104, active 7079, size 340, leak 2406860.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 3231, size 48, leak 155088.
block 32, total 7104, active 7079, size 340, leak 2406860.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4200, active 2961, size 48, leak 142128.
block 32, total 7104, active 7101, size 340, leak 2414340.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4200, active 2854, size 48, leak 136992.
block 32, total 7104, active 7090, size 340, leak 2410600.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 2910, size 48, leak 139680.
block 32, total 7104, active 7080, size 340, leak 2407200.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 2918, size 48, leak 140064.
block 32, total 7104, active 7075, size 340, leak 2405500.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 2784, size 48, leak 133632.
block 32, total 7104, active 7078, size 340, leak 2406520.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 2400, active 1450, size 48, leak 69600.
block 32, total 7104, active 7080, size 340, leak 2407200.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 2600, active 1750, size 48, leak 84000.
block 32, total 7104, active 7080, size 340, leak 2407200.
block 1000, total 41000, active 16591, size 12, leak 199092.
block 200, total 4200, active 2999, size 48, leak 143952.
block 32, total 7136, active 7107, size 340, leak 2416380.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3600, active 2979, size 48, leak 142992.
block 32, total 7104, active 7080, size 340, leak 2407200.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 32, total 7104, active 7080, size 340, leak 2407200.
block 1000, total 40000, active 16574, size 12, leak 198888.
block 200, total 4200, active 3253, size 48, leak 156144.
block 32, total 7104, active 7080, size 340, leak 2407200.
block 1000, total 40000, active 16578, size 12, leak 198936.
block 200, total 3800, active 2864, size 48, leak 137472.
block 32, total 7136, active 7109, size 340, leak 2417060.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3600, active 2801, size 48, leak 134448.
block 32, total 7072, active 7066, size 340, leak 2402440.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3200, active 2424, size 48, leak 116352.
block 200, total 1800, active 1575, size 48, leak 75600.
block 32, total 7136, active 7117, size 340, leak 2419780.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 32, total 7200, active 7185, size 340, leak 2442900.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 2200, active 1504, size 48, leak 72192.
block 32, total 7136, active 7130, size 340, leak 2424200.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 2600, active 1376, size 48, leak 66048.
block 32, total 7136, active 7129, size 340, leak 2423860.
block 1000, total 41000, active 16607, size 12, leak 199284.
block 200, total 4800, active 3020, size 48, leak 144960.
block 32, total 7200, active 7195, size 340, leak 2446300.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 2556, size 48, leak 122688.
block 32, total 7296, active 7292, size 340, leak 2479280.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 2908, size 48, leak 139584.
block 32, total 7328, active 7318, size 340, leak 2488120.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 3101, size 48, leak 148848.
block 32, total 7328, active 7306, size 340, leak 2484040.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4200, active 2747, size 48, leak 131856.
block 32, total 7328, active 7319, size 340, leak 2488460.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 32, total 7328, active 7306, size 340, leak 2484040.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4000, active 2697, size 48, leak 129456.
block 32, total 7328, active 7306, size 340, leak 2484040.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4000, active 2751, size 48, leak 132048.
block 32, total 7360, active 7341, size 340, leak 2495940.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4000, active 2893, size 48, leak 138864.
block 32, total 7360, active 7341, size 340, leak 2495940.
block 1000, total 41000, active 16630, size 12, leak 199560.
block 200, total 4000, active 2802, size 48, leak 134496.
block 32, total 7360, active 7352, size 340, leak 2499680.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4000, active 2582, size 48, leak 123936.
block 32, total 7328, active 7327, size 340, leak 2491180.
block 1000, total 40000, active 16574, size 12, leak 198888.
block 200, total 4400, active 3080, size 48, leak 147840.
block 32, total 7360, active 7347, size 340, leak 2497980.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 2600, active 1659, size 48, leak 79632.
block 32, total 7360, active 7343, size 340, leak 2496620.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4400, active 2941, size 48, leak 141168.
block 32, total 7360, active 7357, size 340, leak 2501380.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 32, total 7328, active 7327, size 340, leak 2491180.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3200, active 2253, size 48, leak 108144.
block 32, total 7392, active 7361, size 340, leak 2502740.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 2600, active 1429, size 48, leak 68592.
block 32, total 7360, active 7339, size 340, leak 2495260.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 4000, active 2950, size 48, leak 141600.
block 32, total 7360, active 7340, size 340, leak 2495600.
block 1000, total 40000, active 16575, size 12, leak 198900.
block 200, total 3000, active 2193, size 48, leak 105264.
block 32, total 7360, active 7340, size 340, leak 2495600.
block 1000, total 40000, active 16572, size 12, leak 198864.
block 200, total 3200, active 2328, size 48, leak 111744.
block 32, total 7360, active 7339, size 340, leak 2495260.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 2800, active 1987, size 48, leak 95376.
block 32, total 7328, active 7314, size 340, leak 2486760.
block 1000, total 40000, active 16574, size 12, leak 198888.
block 200, total 2600, active 1643, size 48, leak 78864.
block 32, total 7552, active 7544, size 340, leak 2564960.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 32, total 7328, active 7325, size 340, leak 2490500.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 32, total 7552, active 7545, size 340, leak 2565300.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 3800, active 2835, size 48, leak 136080.
block 32, total 7584, active 7561, size 340, leak 2570740.
block 1000, total 40000, active 16571, size 12, leak 198852.
block 200, total 3600, active 1855, size 48, leak 89040.
block 32, total 7360, active 7343, size 340, leak 2496620.
block 1000, total 41000, active 17068, size 12, leak 204816.
block 200, total 3600, active 2649, size 48, leak 127152.
block 32, total 7360, active 7353, size 340, leak 2500020.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 200, total 2200, active 1395, size 48, leak 66960.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 1000, total 40000, active 16570, size 12, leak 198840.
block 32, total 7360, active 7332, size 340, leak 2492880.
block 32, total 7584, active 7557, size 340, leak 2569380.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3400, active 2671, size 48, leak 128208.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3400, active 2575, size 48, leak 123600.
block 32, total 7328, active 7322, size 340, leak 2489480.
block 1000, total 40000, active 16240, size 12, leak 194880.
block 200, total 3600, active 2826, size 48, leak 135648.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3600, active 2773, size 48, leak 133104.
block 32, total 7360, active 7331, size 340, leak 2492540.
block 1000, total 40000, active 16472, size 12, leak 197664.
block 200, total 2200, active 1526, size 48, leak 73248.
block 32, total 7360, active 7346, size 340, leak 2497640.
block 1000, total 40000, active 16252, size 12, leak 195024.
block 200, total 3200, active 2492, size 48, leak 119616.
block 32, total 7360, active 7336, size 340, leak 2494240.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 2200, active 1511, size 48, leak 72528.
block 32, total 7360, active 7336, size 340, leak 2494240.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 32, total 7328, active 7322, size 340, leak 2489480.
