ID,name,desc,talk_pre,talk_accept,talk_doing,talk_finish,task_failed
1714,Cause of Disease,Go to kill Bloody Worm around the Ease Cloud Cave and collect Four Leaf Red Lotus for Hunter Qiu.,"I found some Bloody Worms near the Ease Cloud Cave.  I think they are the ones that bit my father;  and they are guarding a plant called Four Leaf Red Lotus, which should be the antidote.  If we can kill those worms and get the plant, my father will be cured.  Would you please do me the favor?",I will never forget your kindness!,Have you got it?,Millions of thanks!,
1715,Punish Cheater,Give Childe Tangz a lesson and get the truth.,Damn!  What I've found are all venomous animals and plants!  No wonder I was attacked by demons.  They were all traps set by Childe Tangz.  Hope you can find him and get the truth!,What should I do?,What can I do for you?,"Childe Tangz was controlled by Ice Fox Lady, who wanna seduce Qiu Zhixian to join in their party.",
1716,Appearance of Chief,Kill Gloomy Sword Taoist who was asked by Ice Fox Lady to get Qiu Zhixian.,"Ice Fox Lady must have known that her plan were destroyed, so she are monitoring the Ease Cloud Cave.  That's why there are Gloomy Sword Taoist outside the cave.  I hope you can go there to make some investigation.",Take care!  Maybe Ice Fox Lady will come out together!,Have you killed those guys?,Ice Fox Lady is really a cautious person.,
1717,Get Secret Golden Drug,Destroy the Purple Crystal Ball set by Ice Fox Lady and get the Secret Golden Drug inside.,"Ice Fox Lady is so cautious and cunning.  She has set several traps for us from Seven Sword Tomb to Purple Crystal Ball.  I found that these Purple Crystal Ball has some relationship with the plants around.  So I think that Hunter Qiu's father will be cured if we can destroy the Purple Crystal Ball.  $username$, you are expected to do that.","Ice Fox Lady values these  Purple Crystal Balls very much, so please take care!",Have you got it?,Good job!,
1718,Nature of Ice Fox Lady,Kill Ice Fox Lady.,"As I guess,  Ice Fox Lady cannot bear any longer.  Good!  It's time to cope with her.  $username$, come on!",Ice Fox Lady was Nine Tails Fox.  ,Have you defeated that fox?,Good job!,
1719,True Antidote,Please collect Secret Golden Drug and give them to Soul of Wizard Liyu.,"I've found many Secret Golden Drugs, which were refined by Ice Fox Lady.  The disease of Elder Qiu was caused by her.  So I can use these Secret Golden Drugs to make the real antidote.  $username$, please do me a favor.",These Secret Golden Drug are in a small treasure box.,Have you found them?,"I will make the antidote soon, please wait.",
1720,Turn the Corner,Give Lustration Powder to Qiu Zhixian.,"I used those Secret Golden Drugs and made the antidote which cured Elder Qiu finally!  This drug is called Lustration Powder.  Oh, please tell Qiu Zhixian, if she wanna learn skills, please feel free to join Wizard.  I am sure she will do a great job!",Qiu Zhixian deserves it.,What can I do for you?,Thank you for your praise...,
1721,Hide and Seek,Please help Bonnie find three children who are playing hide and seek.,"We are playing hide and seek, but the other three kids are good at hiding, so I cannot find them out...   Would you please find them?",I am sure they are still hiding inside the village.,Have you found them?,Thanks!  Here are your rewards.,
1722,Find Bonnie's Sister,Please call Bonnie's sister back.,"My sister goes to the northern mountain to feed silkworm each afternoon.  These kind of silkworm only spit silk in darkness, so my sister must work in darkness every day...  I hope you can go to find her.",Thanks.,Have you found my sister?,"Hehe, here's your reward.",
1723,Harvest Fruits,Collect mature fruits and give them to Orchard Farmer.,It's time to harvest fruits.  But we need more persons to help us.  Would you please carry those fruits from baskets here?,Thanks!  Those baskets are just under the trees.,Have you done?,Thanks a lot!  Here are your rewards!,
1724,Trembling Beetle,Please exterminate those beetles.,"Though we have picked those fruits, we still need to exterminate all those beetles to ensure the safety of trees.  $username$, would you please help us?",Those annoying beetles!,Have you exterminate all beetles?,Thanks a lot!  Here are your rewards!,
1725,Big Cavy,Please exterminate those Big Cavy and move the foods.,The basement with foods inside are full of mice.  These mice have eaten much food!  Would you please move the foods to another safe place?,Please take care of the food left.,Have you saved our food?,Thanks a lot!  Here are your rewards!,
1726,Help Catch Fish,Try your best to catch fish.,We always cast net to catch fish.  But we need more persons to take the nets.  Can you help us?,It's easy to find those nets.,Have you done?,Thanks a lot!  Here are your rewards!,
1727,Disturbance of Water Devil,Help Lisan to exterminate the Water Devil.,"We must be more careful when take nets these days, because there are many Water Devils in the river.  If you see the devil, please kill them!",Those devils always destroy the nets.,Have you killed those devils?,Thanks a lot!  Here are your rewards!,
1728,Lair of Water Devil,Destroy the lair of Water Devil and kill the big Water Devil .,"There is a Lair of Water Devil in the bottom of the river,  so we must destroy this lair to exterminate all Water Devils.  Now this lair is guarded by a big Water Devil all day.  $username$, would you please kill this devil?",Wish you good luck!,Have you destroyed the lair?,Thanks a lot!,
1729,Fat Chef's Favorite,Please take Fresh Fish to Fat Chef.,"Several days ago, I was heavily drunk and quarreled with Villager Lisan.  Now he refuses to sell fish to me... It's my mistake.  I hope you can get some Fresh Fish for me. ",I need Fresh Fish.,Have you got Fresh Fish?,Thank you!,
1730,Reconciliation,Take Fat Chef's Chicken Soup to Lisan.,You've helped me a lot for my business.  Now I've prepared Chicken Soup.  I hope you can take it to Lisan.  I really wanna reconcile with him.,Please take it to him as soon as possible.,What can I do for you?,Oh!  I didn't take it to heart.  Thank him!,
1731,Vegetable Garden,Help Lisan exterminate those Pheasants.,"Hello again!  Recently, some Pheasants have been making troubles in the vegetable garden. I hope you can exterminate them to protect our vegetables.","I've prepared a cage in the back of the garden, you just need to put them to the cage.",Have you finished?,Thanks!  Here are your rewards.,
1732,Lost Hairpin,Please take Lantern Shopkeeper's Hairpin from Water Devil.,"Hi, would you please do me a favor?  Lantern Shopkeeper lost her Hairpin a couple of days ago.  We think that the Hairpin is in the hand of Water Devil.  Could you please take it back?",I really didn't wanna brother you...,What can I do for you?,"Oh!  It's my lost Hairpin, $username$, thanks!",
1733,Gratitude,Please convey Lantern Shopkeeper's gratitude to Rich Elder.,"Hehe, Rich Elder is my elder brother.  We were separated from and lost touch with each other when we were young.  Because I am new here and unmarried, I hope you can convoy my gratitude to him.",Wish him brisk business!,What can I do for you?,I am glad to hear that.,
1734,Home of Lantern,Ask Rich Elder to pay debts to Shopman.,"Rich Elder owes me goods payments for many days.  So I hope you can take a message to him for me.  If he still refuses to pay off all debts, I will never cooperate  with him.",Thanks!  Hope Rich Elder won't disappoint me.,What can I do for you?,"Oh, sorry!!  I will pay off all debts soon!",
1735,Send Medicine,Please take Apothecary's medicine to Qiu Zhixian.,Qiu Zhixian asked me to prescribe a special medicine for her.  Now I've prepared all materials.  Would you please send them to her?,Wish her good luck!,What can I do for you?,Millions of thanks!,
1736,Unknown Devil,Go to kill all devils coming from the Hexagram Array.,"There is a Hellfire Vessel in the Ease Cloud Cave.  This vessel now combines nimbus, which is creating devils from the Hexagram Array.  So we must exterminate those devils first!",I am here for your good news!,Have you finished?,Good job!,
1737,Poisonous Bird,Kill the Poisonous Bird in Ease Cloud Cave and collect their feathers for Elder Dong.,"There are many Poisonous Birds living in Ease Cloud Cave.  It's heard that they are fed by a fox...  Anyway, the venom of this kind of bird is a very cherish medicine.  If you have chance to go there, please take some Poisonous Feathers for me!",Wish you good luck!,Have you collected feathers?,Great!  Accept these rewards!,
1738,Soul of Fox,Go to destroy Soul of Ice Fox Lady.,"ice Fox Lady, who was a fox before, is now hiding in Ease Cloud Cave to practice.  Her body is wandering outside, but her soul is required to infuse nimbus to Hellfire Vessel for three hours per day.  It's a good chance to kill her.  $username$, we hope you can fulfill this quest!",I am here for your good news!,Have you fulfilled?,You will make more achievements in future.,
1739,Hellfire Vessel,Kill the devils guarding the Hellfire Vessel.,There is a treasure in Ease Cloud Cave - Hellfire Vessel.  It can absorb nimbus itself and enhance evil power.  Its mystery still remains unknown.  Our first step is to exterminate those devils who are guarding this vessel.,I am here for your good news!,Have you fulfilled?,You've made another contribution!,
